Reference, Quantity, Value, Footprint, Datasheet, MPN
BT1 ,1,"Battery","Battery:BatteryHolder_Eagle_12BH611-GR","https://eu.mouser.com/datasheet/2/209/EPD-200766-1274481.pdf","12BH611-GR"
C1 C2 ,2,"10p","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","https://eu.mouser.com/datasheet/2/400/eadmlcc_halogenfree_fg_en-775693.pdf","FG18C0G1H100DNT00"
C3 C4 C7 C8 ,4,"10u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","https://eu.mouser.com/datasheet/2/400/eadmlcc_halogenfree_fg_en-775693.pdf","FG18X5R1E106MRT06"
C5 C6 ,2,"100n","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","https://eu.mouser.com/datasheet/2/427/kvseries-1097555.pdf","K104K15X7RF53K2"
D1 ,1,"green","LED_THT:LED_D5.0mm","https://eu.mouser.com/catalog/English/103/145.pdf","LTL-307GLC"
D2 ,1,"1N5818-T","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","https://www.mouser.de/datasheet/2/345/1n5817-1n5819-24580.pdf","1N5818-T"
J1 ,1,"Audio Out","Connector_Audio:3F07","https://www.mouser.de/datasheet/2/670/sj1-352xn_series-1312961.pdf","SJ1-3524N"
J2 ,1,"Audio In","Connector_Audio:3F07","https://www.mouser.de/datasheet/2/670/sj1-352xn_series-1312961.pdf","SJ1-3524N"
L1 L2 ,2,"10mH","Inductor_THT:L_Radial_D7.0mm_P3.00mm","https://eu.mouser.com/datasheet/2/54/lb-777833.pdf","RLB0812-103KL"
R1 R2 ,2,"75","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","https://eu.mouser.com/datasheet/2/447/Yageo%20LR_MFR_2013-467719.pdf","MFR-25FBF52-75R"
R3 R4 ,2,"100k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","https://eu.mouser.com/datasheet/2/447/Yageo%20LR_MFR_2013-467719.pdf","MFR-25FBF52-100K"
R5 R6 R7 ,3,"1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","https://eu.mouser.com/datasheet/2/447/Yageo%20LR_MFR_2013-467719.pdf","MFR-12FTF52-1K"
RV1 ,1,"10k","Potentiometer_THT:Potentiometer_Alps_RK097_Dual_Horizontal_Switch","","RK0971221Z05"
U1 ,1,"AS358P-E1","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","AS358P-E1"
